Date,U.S. Gulf Coast Conventional Gasoline Regular Spot Price FOB (Dollars per Gallon)
1/2/14,2.515
1/3/14,2.493
1/6/14,2.515
1/7/14,2.556
1/8/14,2.545
1/9/14,2.528
1/10/14,2.605
1/13/14,2.544
1/14/14,2.528
1/15/14,2.551
1/16/14,2.513
1/17/14,2.602
1/21/14,2.577
1/22/14,2.596
1/23/14,2.557
1/24/14,2.545
1/27/14,2.528
1/28/14,2.52
1/29/14,2.544
1/30/14,2.585
1/31/14,2.555
2/3/14,2.536
2/4/14,2.541
2/5/14,2.569
2/6/14,2.628
2/7/14,2.691
2/10/14,2.653
2/11/14,2.704
2/12/14,2.719
2/13/14,2.74
2/14/14,2.766
2/18/14,2.756
2/19/14,2.714
2/20/14,2.68
2/21/14,2.7
2/24/14,2.953
2/25/14,2.763
2/26/14,2.679
2/27/14,2.709
2/28/14,2.703
3/3/14,2.788
3/4/14,2.724
3/5/14,2.715
3/6/14,2.726
3/7/14,2.704
3/10/14,2.709
3/11/14,2.724
3/12/14,2.714
3/13/14,2.695
3/14/14,2.788
3/17/14,2.722
3/18/14,2.739
3/19/14,2.688
3/20/14,2.704
3/21/14,2.741
3/24/14,2.701
3/25/14,2.68
3/26/14,2.6
3/27/14,2.719
3/28/14,2.736
3/31/14,2.686
4/1/14,2.685
4/2/14,2.701
4/3/14,2.742
4/4/14,2.764
4/7/14,2.773
4/8/14,2.816
4/9/14,2.809
4/10/14,2.819
4/11/14,2.824
4/14/14,2.85
4/15/14,2.831
4/16/14,2.841
4/17/14,2.84
4/21/14,2.837
4/22/14,2.85
4/23/14,2.855
4/24/14,2.795
4/25/14,2.841
4/28/14,2.797
4/29/14,2.811
4/30/14,2.735
5/1/14,2.719
5/2/14,2.742
5/5/14,2.712
5/6/14,2.669
5/7/14,2.722
5/8/14,2.702
5/9/14,2.685
5/12/14,2.711
5/13/14,2.72
5/14/14,2.766
5/15/14,2.773
5/16/14,2.784
5/19/14,2.787
5/20/14,2.794
5/21/14,2.82
5/22/14,2.831
5/23/14,2.836
5/27/14,2.82
5/28/14,2.805
5/29/14,2.827
5/30/14,2.79
6/2/14,2.769
6/3/14,2.773
6/4/14,2.742
6/5/14,2.773
6/6/14,2.76
6/9/14,2.799
6/10/14,2.798
6/11/14,2.809
6/12/14,2.893
6/13/14,2.862
6/16/14,2.895
6/17/14,2.922
6/18/14,2.915
6/19/14,2.924
6/20/14,2.93
6/23/14,2.911
6/24/14,2.927
6/25/14,2.852
6/26/14,2.854
6/27/14,2.873
6/30/14,2.847
7/1/14,2.833
7/2/14,2.818
7/3/14,2.819
7/7/14,2.784
7/8/14,2.764
7/9/14,2.724
7/10/14,2.741
7/11/14,2.712
7/14/14,2.724
7/15/14,2.71
7/16/14,2.698
7/17/14,2.682
7/18/14,2.677
7/21/14,2.705
7/22/14,2.682
7/23/14,2.671
7/24/14,2.66
7/25/14,2.681
7/28/14,2.661
7/29/14,2.668
7/30/14,2.658
7/31/14,2.605
8/1/14,2.557
8/4/14,2.563
8/5/14,2.562
8/6/14,2.598
8/7/14,2.639
8/8/14,2.631
8/11/14,2.645
8/12/14,2.641
8/13/14,2.652
8/14/14,2.578
8/15/14,2.65
8/18/14,2.608
8/19/14,2.642
8/20/14,2.691
8/21/14,2.703
8/22/14,2.687
8/25/14,2.695
8/26/14,2.636
8/27/14,2.621
8/28/14,2.603
8/29/14,2.657
9/2/14,2.583
9/3/14,2.637
9/4/14,2.637
9/5/14,2.655
9/8/14,2.589
9/9/14,2.564
9/10/14,2.546
9/11/14,2.543
9/12/14,2.536
9/15/14,2.556
9/16/14,2.585
9/17/14,2.579
9/18/14,2.623
9/19/14,2.621
9/22/14,2.58
9/23/14,2.692
9/24/14,2.648
9/25/14,2.659
9/26/14,2.632
9/29/14,2.653
9/30/14,2.586
10/1/14,2.605
10/2/14,2.534
10/3/14,2.445
10/6/14,2.451
10/7/14,2.348
10/8/14,2.263
10/9/14,2.189
10/10/14,2.196
10/13/14,2.162
10/14/14,2.098
10/15/14,2.037
10/16/14,2.074
10/17/14,2.095
10/20/14,2.059
10/21/14,2.06
10/22/14,2.019
10/23/14,2.088
10/24/14,2.054
10/27/14,2.03
10/28/14,2.062
10/29/14,2.082
10/30/14,2.055
