date,loaded.inbound,loaded.outbound,total.loaded,empties,total
1995-01-01,104774.00,74091.00,178865.00,36030.00,214895.00
1995-02-01,99121.00,81879.00,181000.00,35102.00,216102.00
1995-03-01,94125.00,83964.00,178089.00,28349.00,206438.00
1995-04-01,110518.00,86879.00,197397.00,29534.00,226931.00
1995-05-01,113688.00,91226.00,204914.00,35462.00,240376.00
1995-06-01,113419.00,83817.00,197236.00,30462.00,227698.00
1995-07-01,127008.00,88173.00,215181.00,40852.00,256033.00
1995-08-01,127944.00,89354.00,217298.00,46836.00,264134.00
1995-09-01,114541.00,81469.00,196010.00,46443.00,242453.00
1995-10-01,134836.00,92769.00,227605.00,43982.00,271587.00
1995-11-01,109200.00,89899.00,199099.00,44000.00,243099.00
1995-12-01,104146.00,92793.00,196939.00,36927.00,233866.00
1996-01-01,109235.00,87554.00,196789.00,31147.00,227936.00
1996-02-01,113349.00,90233.00,203582.00,23322.00,226904.00
1996-03-01,101338.00,101382.00,202720.00,27480.00,230200.00
1996-04-01,127583.00,100782.00,228365.00,29775.00,258140.00
1996-05-01,120002.00,87242.00,207244.00,32777.00,240021.00
1996-06-01,132419.00,89889.00,222308.00,40016.00,262324.00
1996-07-01,146839.00,83146.00,229985.00,36962.00,266947.00
1996-08-01,139554.00,82965.00,222519.00,46353.00,268872.00
1996-09-01,147405.00,82123.00,229528.00,48001.00,277529.00
1996-10-01,150796.00,89676.00,240472.00,44390.00,284862.00
1996-11-01,125971.00,86338.00,212309.00,39910.00,252219.00
1996-12-01,133087.00,100557.00,233644.00,37737.00,271381.00
1997-01-01,123456.00,78965.00,202421.00,41484.00,243905.00
1997-02-01,126804.00,87586.00,214390.00,35884.00,250274.00
1997-03-01,125040.00,106556.00,231596.00,42326.00,273922.00
1997-04-01,146110.00,92893.00,239003.00,37931.00,276934.00
1997-05-01,143330.00,91734.00,235064.00,42953.00,278017.00
1997-06-01,165763.00,100262.00,266025.00,43604.00,309629.00
1997-07-01,169964.00,96244.00,266208.00,48792.00,315000.00
1997-08-01,160215.00,87518.00,247733.00,49775.00,297508.00
1997-09-01,183914.00,90761.00,274675.00,57795.00,332470.00
1997-10-01,169995.00,87101.00,257096.00,57860.00,314956.00
1997-11-01,146354.00,96568.00,242922.00,68070.00,310992.00
1997-12-01,145840.00,91138.00,236978.00,64014.00,300992.00
1998-01-01,144758.00,72420.00,217178.00,71096.00,288274.00
1998-02-01,132117.00,77303.00,209420.00,66756.00,276176.00
1998-03-01,167712.00,88518.00,256230.00,77104.00,333334.00
1998-04-01,172247.00,87271.00,259518.00,77406.00,336924.00
1998-05-01,163640.00,84381.00,248021.00,83598.00,331619.00
1998-06-01,183019.00,82615.00,265634.00,89402.00,355036.00
1998-07-01,199138.00,80950.00,280088.00,98626.00,378714.00
1998-08-01,195413.00,77416.00,272829.00,99786.00,372615.00
